TIME,D1,D4,D5,D7,D8,D11,D12,R6,R9
5/10/2014 0:00,-3.77099,-4.85819,-1.47081,1.10882,-3.53677,-2.43359,-4.57329,0.344617,-3.17065
5/10/2014 1:00,-3.80919,-5.08529,-1.7758,0.832459,-3.95752,-2.59813,-5.12149,-0.169327,-3.89724
5/10/2014 2:00,-3.86446,-5.28902,-1.94267,0.611272,-4.78837,-2.71284,-5.65256,-0.0344839,-4.34548
5/10/2014 3:00,-3.87721,-5.47557,-1.69317,0.341963,-4.64011,-2.9095,-5.92078,7.27679,-4.26114
5/10/2014 4:00,-3.90785,-5.64023,-1.47601,-0.00579643,-3.97648,-3.14072,-6.03826,8.37796,-3.98564
5/10/2014 5:00,-3.94277,-5.83881,-1.18227,-0.207435,-3.17785,-3.42526,-5.96117,10.6807,-2.7571
5/10/2014 6:00,-3.99341,-5.91397,-0.107128,-0.24579,-2.37428,-3.76965,-5.38655,12.8589,-0.234994
5/10/2014 7:00,-4.02239,-5.81967,0.0263128,-0.106627,-1.26176,-4.06018,-3.36887,13.5465,2.84221
5/10/2014 8:00,-2.66958,-5.5202,0.20524,0.00920963,-0.0701513,-4.19561,-0.24993,12.022,11.1842
5/10/2014 9:00,-1.9602,-4.60596,0.198036,0.574148,0.0282421,-4.08188,-0.141671,10.4387,15.2945
5/10/2014 10:00,-3.17457,-3.76193,0.204478,2.08289,0.0508165,-3.51392,-0.0839386,10.6287,14.6945
5/10/2014 11:00,-3.52339,-3.70216,0.0737638,4.01466,0.035264,-2.54246,-0.125077,9.73193,12.0147
5/10/2014 12:00,-3.68025,-3.7297,0.0242424,5.31437,-0.0767946,-0.805264,-0.129233,9.46946,11.344
5/10/2014 13:00,-3.74305,-3.82256,-0.0600748,5.85075,-0.462208,0.31275,-0.404157,8.29934,9.12792
5/10/2014 14:00,-3.75409,-3.82161,-0.118108,5.79321,-1.00432,0.632942,-1.26498,7.16286,6.91629
5/10/2014 15:00,-3.77113,-4.02049,-0.185547,5.56231,-1.86638,0.293535,-2.51496,5.6932,2.89072
5/10/2014 16:00,-3.80853,-4.38266,-0.313446,5.25963,-2.51912,0.170088,-3.31262,4.25462,0.177506
5/10/2014 17:00,-3.80233,-4.64577,-0.41372,4.93686,-2.90764,-0.0195189,-3.61798,3.35161,-0.798875
5/10/2014 18:00,-3.81966,-4.9765,-0.69927,4.38683,-3.1913,-0.283658,-4.03979,2.44772,-1.39109
5/10/2014 19:00,-3.86408,-5.25995,-0.734374,3.76452,-3.28111,-2.30295,-4.12873,1.98517,-1.61788
5/10/2014 20:00,-3.91764,-5.45089,-0.804366,2.96366,-3.87273,-3.12881,-4.39381,1.91413,-1.87614
5/10/2014 21:00,-4.02171,-5.66395,-0.956167,2.20485,-4.37866,-3.57604,-4.89307,1.6909,-2.36455
5/10/2014 22:00,-4.05304,-5.90901,-1.28647,1.66094,-4.91968,-3.91086,-5.89943,0.916756,-3.99368
5/10/2014 23:00,-4.1048,-6.04903,-1.62101,1.21725,-5.07063,-3.79427,-6.0944,0.0195246,-5.25811
5/11/2014 0:00,-4.14223,-6.36366,-2.14285,0.895495,-5.30961,-3.93569,-6.45421,-0.580889,-6.17789
5/11/2014 1:00,-4.25805,-6.60815,-2.35152,0.622535,-5.75444,-4.27962,-6.94373,-0.856681,-7.07345
5/11/2014 2:00,-4.34129,-6.94543,-2.89037,0.32732,-6.13349,-4.97252,-7.45575,-1.16556,-7.62228
5/11/2014 3:00,-4.44286,-7.21219,-2.21533,-0.0274429,-5.48352,-5.55005,-7.76217,9.23103,-6.80716
5/11/2014 4:00,-4.54435,-7.29749,-1.04566,-0.246735,-3.79225,-5.98736,-7.83059,14.4435,-3.4476
5/11/2014 5:00,-4.61619,-7.20559,-0.431853,-0.334971,-2.20318,-6.49459,-7.34571,16.8975,0.723068
5/11/2014 6:00,-4.63513,-6.81834,0.744553,-0.472702,-0.710394,-6.88892,-5.74561,14.6491,5.58444
5/11/2014 7:00,-4.60562,-6.07954,0.157921,-0.0933266,-0.0138416,-6.75498,-3.682,13.0792,9.54602
5/11/2014 8:00,-4.54319,-5.60374,0.30285,0.504312,-0.673652,-5.57566,-3.08758,13.0518,11.3099
5/11/2014 9:00,-4.39703,-5.40658,0.243237,3.91296,-1.28912,-3.19816,-2.53525,13.2119,11.6915
5/11/2014 10:00,-4.34824,-5.01556,0.0792627,5.91617,-1.18295,-1.33515,-2.05225,11.0683,10.105
5/11/2014 11:00,-4.31794,-4.93263,0.0802069,6.80943,-3.0124,-0.494421,-2.87158,10.3623,6.61928
5/11/2014 12:00,-4.35133,-5.1442,-0.266049,7.14359,-3.71185,-0.965658,-3.48799,8.24665,4.02311
5/11/2014 13:00,-4.36301,-5.40722,-0.299288,7.3171,-4.6097,-1.11462,-3.75087,8.09888,5.00868
5/11/2014 14:00,-4.38906,-5.51413,-0.299288,7.13107,-5.09923,-1.71987,-3.69975,6.8775,5.40142
5/11/2014 15:00,-4.41033,-5.75415,-0.447337,5.88823,-6.18722,-2.63359,-4.97519,5.15899,0.206394
5/11/2014 16:00,-4.412,-6.12702,-0.824717,4.84986,-6.25597,-3.62706,-5.86767,3.44371,-1.9986
5/11/2014 17:00,-4.45818,-6.33599,-0.88449,4.149,-6.47343,-3.85355,-6.29628,3.02736,-2.97762
5/11/2014 18:00,-4.50798,-6.55708,-1.2405,3.52296,-6.48765,-4.61778,-6.33529,1.98343,-3.12302
5/11/2014 19:00,-4.53184,-6.61233,-1.0798,2.92455,-6.26394,-5.32262,-6.13007,1.33562,-2.32597
5/11/2014 20:00,-4.55804,-6.59218,-1.1192,2.23947,-6.22974,-5.85366,-6.02597,0.865086,-2.10581
5/11/2014 21:00,-4.58743,-6.52009,-1.16742,1.70981,-6.25365,-5.86218,-6.0288,0.170323,-3.32502
5/11/2014 22:00,-4.61331,-6.4923,-1.21886,1.27084,-6.36024,-5.82103,-6.13637,0.135375,-4.18815
5/11/2014 23:00,-4.63736,-6.4439,-1.35748,0.955071,-6.52553,-5.59904,-6.28879,-0.154603,-4.55834
5/12/2014 0:00,-4.65051,-6.4369,-1.4804,0.738545,-6.64475,-5.58118,-6.31035,-0.459807,-4.34247
5/12/2014 1:00,-4.66589,-6.45731,-1.64225,0.624605,-6.69266,-5.58327,-6.43169,-1.11174,-4.61763
5/12/2014 2:00,-4.66728,-6.47306,-1.82222,0.507971,-6.84806,-5.62928,-6.72891,-1.09609,-4.87114
5/12/2014 3:00,-4.67871,-6.53167,-1.76523,0.383787,-7.09407,-5.70885,-7.0081,8.6226,-4.63601
5/12/2014 4:00,-4.6986,-6.66252,-1.71196,0.287981,-6.71744,-5.71079,-7.02578,12.8968,-2.96624
5/12/2014 5:00,-4.72319,-6.69056,-1.37306,0.194448,-5.88058,-5.84199,-6.59571,14.9911,-0.161888
5/12/2014 6:00,-4.74871,-6.56403,0.138259,0.0665817,-4.33703,-6.00902,-5.55809,15.68,6.33238
5/12/2014 7:00,-4.75551,-6.0864,0.078866,0.136311,-2.52475,-6.12386,-3.55443,14.8459,13.4699
5/12/2014 8:00,-4.75721,-5.37248,-0.0313406,0.634496,-0.983331,-5.91513,-1.29153,11.7727,11.8939
5/12/2014 9:00,-4.72439,-4.55594,0.00950241,1.96198,-0.999226,-5.32282,-0.776767,11.7976,11.8114
5/12/2014 10:00,-4.67877,-4.11255,0.0420141,3.74953,-0.618577,-3.7859,-0.357606,11.5387,11.6047
5/12/2014 11:00,-4.60781,-3.72474,-0.0642157,5.07145,-0.733642,-1.75887,-0.144686,11.0292,14.4272
5/12/2014 12:00,-4.52706,-3.5854,-0.174964,5.63912,-1.18519,-0.598629,-0.176201,9.78525,10.4562
5/12/2014 13:00,-4.4119,-3.63913,-0.255086,5.84363,-1.72773,-0.00603867,-0.862983,8.74914,8.17205
5/12/2014 14:00,-4.34529,-3.74249,-0.334032,5.98465,-2.21192,0.493151,-1.87564,7.36858,5.29901
5/12/2014 15:00,-4.31132,-4.14146,-0.394279,5.88782,-3.09796,0.742641,-2.95867,5.72529,1.4704
5/12/2014 16:00,-4.25866,-4.39701,-0.490756,5.61626,-3.35763,0.17027,-3.68465,4.51673,-0.189895
5/12/2014 17:00,-4.24285,-4.79368,-0.53209,5.20076,-3.97206,-0.432917,-4.41883,3.68342,-1.38516
5/12/2014 18:00,-4.24346,-5.11576,-0.579467,4.64422,-4.40941,-2.08133,-4.62769,3.45906,-1.80067
5/12/2014 19:00,-4.24172,-5.37865,-0.704933,3.89636,-4.74708,-3.14521,-5.28983,2.87121,-2.62369
5/12/2014 20:00,-4.28158,-5.59815,-0.788703,3.0699,-5.08968,-3.62801,-5.47464,2.48493,-2.94911
5/12/2014 21:00,-4.31253,-5.90506,-0.986136,2.36703,-5.38987,-4.05176,-5.81237,1.78825,-3.53894
5/12/2014 22:00,-4.35362,-6.13472,-1.2473,1.90853,-5.6899,-4.23724,-6.11329,1.27761,-3.98573
5/12/2014 23:00,-4.39979,-6.27237,-1.35374,1.54662,-6.13285,-4.55641,-6.36333,0.922653,-4.46454
5/13/2014 0:00,-4.43301,-6.38232,-1.56547,1.24338,-6.26762,-4.7768,-6.72383,0.435039,-5.06999
5/13/2014 1:00,-4.46031,-6.68252,-1.82866,0.909527,-6.6413,-4.97182,-7.10516,-0.151772,-5.75228
5/13/2014 2:00,-4.48811,-6.94599,-2.05274,0.653893,-7.08048,-5.37278,-7.88671,0.252377,-6.33932
5/13/2014 3:00,-4.55697,-7.0164,-1.79959,0.360977,-6.4306,-5.67012,-7.7009,9.78173,-5.01029
5/13/2014 4:00,-4.60461,-6.96414,-1.4331,0.0844345,-4.76856,-5.97073,-7.09446,12.8868,-0.908544
5/13/2014 5:00,-4.63963,-6.80464,-0.573421,-0.137398,-3.26641,-6.38332,-6.77479,16.3425,2.12879
5/13/2014 6:00,-4.65145,-6.40032,0.0867987,-0.245028,-1.43271,-6.60107,-5.55703,17.0499,6.53434
5/13/2014 7:00,-4.63604,-5.90549,0.0539064,0.0996237,-0.495741,-6.04487,-4.10769,16.4931,9.99496
5/13/2014 8:00,-4.61392,-5.47967,0.0240602,1.4852,-0.0428581,-5.23723,-3.00973,14.3142,12.6549
5/13/2014 9:00,-4.56434,-5.26941,-0.0203924,4.29204,-0.385685,-3.48525,-2.63185,12.8598,11.652
5/13/2014 10:00,-4.57147,-5.26159,-0.0474052,6.50681,-1.67112,-2.37479,-2.9454,11.4313,10.5021
5/13/2014 11:00,-4.51134,-5.16079,-0.0432644,8.20947,-2.90713,-2.23315,-1.85054,10.9554,15.546
5/13/2014 12:00,-4.44341,-5.08408,-0.222792,8.94933,-3.28489,-1.31295,-1.85544,9.02051,9.61198
5/13/2014 13:00,-4.39455,-5.19594,-0.449605,8.79324,-3.49002,-2.0619,-2.9025,7.39277,1.80688
5/13/2014 14:00,-4.35408,-5.23658,-0.528512,7.78459,-3.89534,-2.31251,-3.34601,6.51719,1.00636
5/13/2014 15:00,-4.31079,-5.21104,-0.59192,7.05832,-4.086,-1.34154,-3.59437,5.20686,0.21388
5/13/2014 16:00,-4.27639,-5.21904,-0.649097,6.486,-4.14576,-2.59399,-3.90402,3.94777,-0.326015
5/13/2014 17:00,-4.22918,-5.28133,-0.701159,5.3445,-4.2436,-3.30087,-4.07425,3.50097,-0.729112
5/13/2014 18:00,-4.2005,-5.37637,-0.843576,4.53671,-4.31892,-3.57894,-4.24095,2.59907,-1.25388
5/13/2014 19:00,-4.17571,-5.48174,-0.974977,3.91945,-4.69041,-3.8324,-4.88171,2.05076,-3.09357
5/13/2014 20:00,-4.15707,-5.70616,-1.02346,3.17521,-4.97827,-4.02247,-5.26566,1.84635,-3.55466
5/13/2014 21:00,-4.14939,-5.77718,-1.1742,2.58563,-5.18398,-4.09315,-5.36712,0.97888,-3.79526
5/13/2014 22:00,-4.1698,-6.00457,-1.27761,2.13718,-5.34867,-4.23873,-5.69087,0.461143,-4.64428
5/13/2014 23:00,-4.18689,-6.23572,-1.41128,1.75024,-5.88,-4.62776,-6.1914,0.241576,-5.24879
5/14/2014 0:00,-4.1918,-6.31896,-1.6641,1.35304,-6.20871,-4.79196,-6.47011,-0.362802,-6.03403
5/14/2014 1:00,-4.21243,-6.44128,-1.81437,1.05353,-6.39622,-5.11154,-6.85116,-0.861963,-6.63079
5/14/2014 2:00,-4.23995,-6.72463,-2.09318,0.649139,-6.87747,-5.27076,-7.33758,-0.400178,-7.32824
5/14/2014 3:00,-4.2684,-6.9378,-1.92983,0.268751,-6.53857,-5.59691,-7.58747,9.27422,-6.62352
5/14/2014 4:00,-4.31169,-7.1655,-1.43009,0.0171747,-5.35626,-6.01482,-7.61973,14.3569,-3.98093
5/14/2014 5:00,-4.36013,-7.17078,-0.503591,-0.185045,-3.83703,-6.41375,-7.22667,16.0427,-0.325618
5/14/2014 6:00,-4.38805,-6.7588,-0.0670815,-0.300259,-2.04477,-6.72452,-5.92093,16.502,3.89402
5/14/2014 7:00,-4.38995,-6.09301,-0.0657396,-0.0137625,-0.689564,-6.89033,-4.09421,15.8493,9.44823
5/14/2014 8:00,-3.39954,-5.58942,-0.0500717,1.22049,-0.232038,-6.32001,-1.48359,13.5104,13.0386
5/14/2014 9:00,-3.57663,-5.3517,-0.0551567,4.21907,-0.00741577,-5.0536,-0.576194,11.7755,18.2313
5/14/2014 10:00,-3.08989,-5.004,-0.166848,5.98759,0.00396156,-3.10053,-0.159209,10.4902,21.4367
5/14/2014 11:00,-3.51957,-4.8275,-0.1115,7.48208,-0.925845,-0.914843,-0.168086,9.39505,22.2537
5/14/2014 12:00,-3.78999,-4.69719,-0.397309,8.50926,-1.07181,-0.827038,-0.0831766,8.18445,20.1448
5/14/2014 13:00,-3.86694,-4.56169,-0.473767,8.74171,-1.5341,-0.253832,-0.0878973,7.61293,15.8717
5/14/2014 14:00,-3.91802,-4.59391,-0.533597,8.21248,-2.54812,-0.026742,-1.86854,6.4787,9.61825
5/14/2014 15:00,-3.95569,-4.94853,-0.61684,7.10589,-3.61083,-0.0472622,-3.95183,4.81786,3.5309
